sents,NER_tag,intent
is herpes part of hand foot and mouth disease?,O B-disease O O B-disease I-disease I-disease I-disease I-disease,disease
can you detrimine the ethnic race of a child through a ultrasound,O O O O O O O O O O O B-treatment,other
what do you think about the effectiveness of laser treatment for wrinkle removal?,O O O O O O O O B-treatment I-treatment O B-disease I-disease,treatment
does having white blood cells in stool stool sample mean cancer?,O O B-disease I-disease I-disease I-disease I-disease I-treatment I-treatment O B-disease,disease
i think my father might need a pacemaker?,O O O O O O O B-treatment,treatment
does chewing tobacco destory vitamin c,O O O O B-drug I-drug,disease
what is antimatic,O O B-drug,drug
what is mch in blood tests,O O B-treatment O B-treatment I-treatment,treatment
can someone prevent typhoid fever?,O O O B-disease I-disease,disease
is it ok to mix metamusil with yogurt instead of liquid?,O O O O O B-drug O O O O O,drug
does oxycontin contain sulfa?,O B-drug O B-drug,drug
should you avoid alcohol after having acute pancreatitis?,O O O O O O B-disease I-disease,disease
what fruit juice acts as a laxative?,O O O O O O B-drug,other
what can a pregnant woman take for a cold?,O O O O O O O O B-disease,drug
is it safe to take one 325mg tylenol 2 hours after a glass of wine?,O O O O O O O B-drug O O O O O O O,drug
can blu light prevent future skin cancers,O O O O O B-disease I-disease,disease
is expired birth control still effective?,O O B-treatment I-treatment O O,other
what are some examples of aerobic exercise?,O O O O O B-treatment I-treatment,other
can a dog get pink eye from a human?,O O O O B-disease I-disease O O O,disease
could my previous method of birth control affect my fertility?,O O O O O B-drug I-drug O O O,other
can i take ibuprofen and viagra at the same time?,O O O B-drug O B-drug O O O O,drug
when is my due date for my menstrual cycle,O O O O O O O B-disease I-disease,other
does monistate contain aspirin or ibuprofen?,O B-drug O B-drug O B-drug,drug
can ear plugs cause ear infections?,O O O O B-disease I-disease,disease
is vaginal bleeding for two months straight normal?,O B-disease I-disease O O O O O,disease
is mupirocin used for poison ivy,O B-drug O O B-disease I-disease,drug
does hpv genital warts appear on the testicles?,O B-disease O O O O O O,disease
is microwave popcorn safe to eat while takiing cipro,O O O O O O O O B-drug,drug
is sebhorric dermatitis contagious?,O B-disease I-disease O,disease
what is coreg cr taken for?,O O B-drug I-drug O O,drug
where is west nile more likely to occure?,O O B-disease I-disease O O O O,disease
is hair loss in women different than men?,O B-disease I-disease O O O O O,other
can you get a uti from fecal matter (diarrhea) accidently entering the urethra?,O O O O B-disease O O O O B-disease O O O,disease
what would a single dose of 4 azithromycin pills be used to treat?,O O O O O O O B-drug O O O O O,drug
i prilosec 20 mgs (otc) and have taken this daily for over 10 yrs straight?,O B-drug I-drug I-drug I-drug O O O O O O O O O O,drug
is clindamycin effective in treating syphilis?,O B-drug O O O B-disease,drug
can excessive masturbation cause nervousness,O O O O B-disease,disease
can prenatal vitamins mess up my menstral cycle?,O O B-drug O O O O O,disease
can you get pregnant after gastric bypass surgery?,O O O O O B-treatment I-treatment I-treatment,other
what happens if i had an air bubble in insulin i injected?,O O O O O O O O O B-drug O O,other
can i get the flu shot if i am allergic to penicillin?,O O O O B-drug I-drug O O O B-disease O B-drug,drug
can valtrax be used to treat lichen sclerosus,O B-drug O O O O B-disease I-disease,drug
what is hcg (human chorionic gonadotropin) for infertility?,O O B-drug O B-drug I-drug I-drug I-disease,disease
can acupuncture relieve eye pain?,O B-treatment O B-disease I-disease,treatment
can i drink milk or orange juice with sinusitis?,O O O O O O O O B-disease,other
does peppermint oil help with bad breath,O O O O O B-disease I-disease,other
is there any way to speed up a cold once you feel one coming on?,O O O O O O O O B-disease O O O O O O,disease
can hot flashes cause laryngitis,O O O O B-disease,disease
what is an apexification procedure?,O O O B-treatment I-treatment,treatment
can i drink beer with a major large tongue laceration bit through it.,O O O O O O O B-disease I-disease I-disease O O O,disease
what causes acne vulgaris?,O O B-disease I-disease,disease
what is a dry powder inhaler?,O O O B-drug I-drug I-drug,drug
does soaking in epsom salts help to draw out excess lactic acid from muscles?,O O O B-drug I-drug O O O O B-disease I-disease I-disease O O,other
what is the official website for obamacare,O O O O O O B-treatment,other
does niacin affect the bodys ability to produce insulin,O B-drug O O O O O O B-drug,drug
is it safe to take coricidin while on z pack medication?,O O O O O B-drug O O B-drug I-drug O,drug
does medicare or tricare help cover walk in bathtubs for handicap people?,O O O O O O O O O O B-disease I-disease,other
does getting flu shots over the years might end up giving you alzheimer's disease?,O O B-drug I-drug O O O O O O O O B-disease I-disease,disease
does symptoms of kidney stones mimic gential herpes in a man?,O O O B-disease I-disease O B-disease I-disease O O O,disease
can iron supplements cause damage to teeth and discolor dentures?,O B-drug I-drug O B-disease I-disease I-disease O B-disease O,drug
is having a blood pressure at 133 over 82 bad?,O O O B-disease I-disease O O O O O,disease
will eating poppy seed bagels cause me to fail a pre-employment drug-test test?,O O O O O O O O O O O B-treatment O,other
any problems with accidentally taking the flu shot twice at age 69?,O O O O O O B-drug I-drug O O O O,drug
what is erythematous mucosa?,O O B-disease I-disease,disease
is it possible to get pregnant 7 days after your menstruation?,O O O O O B-disease O O O O B-disease,other
why can't i taste food when i have a cold,O O O O O O O O O B-disease,disease
can lisinopril affect home pregnency test results?,O B-drug O B-treatment I-treatment I-treatment O,drug
who is most affected most by the common cold,O O O O O O O B-disease I-disease,disease
does the caffeine in coffee cause facial wrinkles?,O O B-drug O O O B-disease I-disease,disease
can rotateq be given with other vaccines?,O B-drug O O O O O,drug
what specialist treats rhinitis?,O O O B-disease,disease
"i cut my finger and may have been exposed to hiv, should i be tested?",O B-disease I-disease I-disease O O O O O O B-disease O O O O,treatment
why can't valtrex be given to patients with mononucleosis to reduce symptoms?,O O B-drug O O O O O B-disease O O O,drug
can i use famvir for ear infections?,O O O B-drug O B-disease I-disease,drug
can saline solution be used in nostrils while there is greenish discharge?,O B-drug I-drug O O O O O O O B-disease I-disease,other
does sauerkraut cause gas?,O B-drug O B-disease,drug
can the overuse of acetaminophen cause knee pain?,O O O O B-drug O B-disease I-disease,drug
can a child get congestion from taking benadryl if they arent sick,O O O O B-disease O O B-drug O O O O,drug
my daughter has crohn's disease. can she take ibuprofen?,O O O B-disease I-disease O O O B-drug,disease
can you naproxen 500 mg with antihistamine,O O B-drug I-drug I-drug O B-drug,drug
what illnesses often co-exist with bipolar disorder?,O O O O O B-disease I-disease,disease
is naproxen sodium the same as aspirin?,O B-drug I-drug O O O B-drug,drug
during second pregnancies how long before labor starts once you loss your plug?,O B-disease I-disease O O O B-disease I-disease O O B-disease I-disease I-disease,disease
can allergy shots cause hemorrhoids?,O B-drug I-drug O B-disease,drug
what happens if a stye pops in your eye,O O O O B-disease O O O O,disease
what are the exams done by a doctor to detect amblyopia?,O O O O O O O O O O B-disease,treatment
is lisinopril a beta blocker?,O B-drug O B-drug I-drug,drug
can apple cider vinegar help constipation,O B-drug I-drug I-drug O B-disease,treatment
can melatonin cause weight gain?,O B-drug O B-disease I-disease,drug
what purpose does glycerin serve in toothpaste?,O O O B-drug O O B-drug,drug
can a woman get pregnant using the withdrawal method of birth control?,O O O O B-disease O O B-treatment I-treatment I-treatment I-treatment I-treatment,other
can i take tylenol pm with tamiflu,O O O B-drug I-drug O B-drug,drug
can you use vicodin to help ease alcohol withdrawl,O O O B-drug O O O B-disease I-disease,drug
can birth control lead to infertility?,O B-drug I-drug O O B-disease,disease
can 2 people be allergic to fabric softner at the same time?,O O O O B-disease O O O O O O O,disease
surgeon said he had to take cartilage out from jaw jaw?,O O O O O O B-treatment I-treatment I-treatment I-treatment O,treatment
how do you cure bacterial stds?,O O O O B-disease I-disease,disease
what are the ingredients of boniva injection?,O O O O O B-drug I-drug,drug
what is the source of bronchitis,O O O O O B-disease,disease
can humans get hiv from dogs or cats?,O O O B-disease O O O O,other
is there something otc for low testosterone?,O O O O O B-disease I-disease,disease
is kidney dialysis covered by medicare?,O O B-treatment O O O,other
does adderall cause acne?,O B-drug O B-disease,drug
i used ultra chloraseptic spray on my 7 year old daughter?,O O B-drug I-drug I-drug O O O O O O,drug
what kind of doctor should an alzheimers patient see?,O O O O O O B-disease O O,treatment
i am currently 64. do i have to sign up for obamacare?,O O O O O O O O O O O B-treatment,other
if i have already had the flu this season should i get a flu shot?,O O O O O O B-disease O O O O O O B-drug I-drug,other
can a person who has a stye go swimming in a pool,O O O O O O B-disease O O O O O,disease
will alprazolam show up in your urine 30 min after orally taking a xanax,O B-drug O O O O O O O O O O O B-drug,drug
can i go out in the sun while taking 875 mg dose of amoxicillin?,O O O O O O O O O B-drug I-drug I-drug I-drug I-drug,drug
how many days a week should i exercise?,O O O O O O O B-treatment,other
can vulvar cancer lead to breast cancer?,O B-disease I-disease O O B-disease I-disease,disease
what can cause erectile dysfunction?,O O O B-disease I-disease,disease
should i avoid drinking alcohol before a tooth extraction?,O O O O O O O B-treatment I-treatment,other
can using a vibrator cause urethritis.,O O O O O B-disease,disease
can carbonated beverages hinder weight loss?,O O O O B-disease I-disease,other
does vitamin b injections raise blood pressure?,O B-drug I-drug I-drug I-disease I-disease I-disease,other
can wellbutrin cause me to fail a drug test?,O B-drug O O O O O B-treatment I-treatment,drug
can using shea butter help to lighten acne marks on face face?,O O B-treatment I-treatment O O O B-disease I-disease I-disease I-disease O,treatment
can a 23 year old female take centrum silver women?,O O O O O O O B-drug I-drug I-drug,drug
when is it safe to get flu shot after having mononucleosis?,O O O O O O B-drug I-drug O O B-disease,disease
what is the common cold?,O O O B-disease I-disease,disease
what tests should i consider having for high blood pressure and rapid heart rate?,O O O O O O O B-disease I-disease I-disease O B-disease I-disease I-disease,treatment
does lung cancer metastasis to the brain?,O B-disease I-disease I-disease O O O,disease
i had a flu shot in october is it good for the whole flu season.,O O O B-drug I-drug O O O O O O O O O O,drug
blood tests done for rheumatoid arthritis positive or normal?,B-treatment I-treatment O O B-disease I-disease O O O,treatment
do i need to fast for psa blood test?,O O O O O O B-treatment I-treatment I-treatment,treatment
can you take ranitidine with amoxicillin,O O O B-drug O B-drug,drug
what is a proctocolectomy related to colorectal cancer?,O O O B-treatment O O B-disease I-disease,treatment
is spinal meningitis contagious,O B-disease I-disease O,disease
can scabies cause heart problems? could scabies also cause lung problems,O B-disease O O O O O O O O O,disease
what is the difference between carcinoma and melanoma,O O O O O B-disease O B-disease,disease
can i swim in a pool with hemorrhoids?,O O O O O O O B-disease,disease
how can constipation affect your body weight?,O O B-disease O O O O,disease
what class is the drug zoloft in?,O O O O O B-drug O,drug
will bactrim cure strep throat?,O B-drug O B-disease I-disease,treatment
can eating chia seeds and flaxseed in the same meal dehydrate you?,O O B-drug I-drug O B-drug O O O O B-disease O,drug
can miralax be used the day after a prostate biopsy,O B-drug O O O O O O B-treatment I-treatment,drug
is a tumor the same as a cyst?,O O B-disease O O O O B-disease,disease
does foot detox have a medical benefit,O B-treatment I-treatment O O O O,treatment
can you get lyme disease from bone graphting,O O O B-disease I-disease O B-treatment I-treatment,treatment
does drinking water at night cause weight gain,O O O O O O B-disease I-disease,disease
is there a link between a latex allergy and hard shell capsules?,O O O O O O B-disease I-disease O B-drug I-drug I-drug,disease
will diphenhydramine hci cause a positive result on a drug test,O B-drug I-drug O O O O O O B-treatment I-treatment,drug
what is radiation therapy?,O O B-treatment I-treatment,treatment
is albuterol a steroid?,O B-drug O B-drug,drug
can teenagers (14 years old) take adult multivitamins?,O O O O O O O B-drug,drug
is dental extraction dangerous for a fifty year old,O B-treatment I-treatment O O O O O O,treatment
is a sugar level above 400 dangerous?,O O B-treatment I-treatment O O O,disease
what moisturizer can be used when you use retin-a?,O O O O O O O O B-drug,drug
can too much fiber cause constipation?,O O O O O B-disease,disease
is my anti hiv test conclusive or need retest?,O O B-treatment I-treatment I-treatment O O O O,treatment
if i had unprotected sex 4 days before my period would i get pregnant?,O O O O O O O O O B-disease O O O B-disease,other
does keflex reduce milk supply during breastfeeding,O B-drug O O O O O,drug
will prednisone help with a staph infection,O B-drug O O O B-disease I-disease,drug
what medicine is recommended to treat kids with fever related to reye syndrome?,O O O O O O O O B-disease O O B-disease I-disease,treatment
does xylocaine jelly totally numb uretha and penis head?,O B-drug I-drug O B-disease I-disease I-disease I-disease I-disease,drug
can i get a flu shot if i'm allergic to rocephin?,O O O O B-drug I-drug O O B-disease O B-drug,drug
very low blood pressure 80/50 i am on medicine please advise?,O B-disease I-disease I-disease O O O O O O O,treatment
can you be allergic to mold in your food?,O O O B-disease O O O O O,other
can you get a cold sore from a yeast infection during oral sex,O O O O B-disease I-disease O O B-disease I-disease O O O,disease
what type of arthritis is most common in people who have ulcerative colitis?,O O O B-disease O O O O O O O B-disease I-disease,disease
is there a generic drug for erectile dysfunction?,O O O O O O B-disease I-disease,disease
what is the best color for full porcelain dentures?,O O O O O O O B-treatment I-treatment,other
can disc issues at c-3 and c-4 cause lower back and right shoulder pain?,O O O O O O O O B-disease I-disease I-disease I-disease I-disease I-disease,disease
how long does colic last?,O O O B-disease O,disease
is it ok to eat pepperoni while pregnant?,O O O O O O O B-disease,other
can i breast feed f i had breast implants done through my nipple,O O O O O O O B-treatment I-treatment O O O O,other
is it better to apply heat or cold to sore muscles after stenuous exercise?,O O O O B-treatment I-treatment I-treatment I-treatment O B-disease I-disease O O B-treatment,treatment
can insulin cause uti?,O B-drug O B-disease,disease
is it possible to have ammonia and flu at same time,O O O O O B-disease O B-disease O O O,other
does albuterol sulphate have steroids in it,O B-drug I-drug O B-drug O O,drug
pregnency what is the full meaning of pvc?,B-disease O O O O O O B-disease,other
can stomach acid or gas come out of the belly button,O B-disease I-disease O O O O O O O O,other
can hand foot and mouth disease cause diarrhea?,O B-disease I-disease I-disease I-disease I-disease O B-disease,disease
can cataracts be removed when patient has wet macular degenteration?,O B-disease O O O O O B-disease I-disease I-disease,disease
does prednisone keep you awake,O B-drug O O O,drug
does yogurt lessen side effects of macrobid?,O B-drug O O O O B-drug,drug
can amoxicillin turn a tongue black?,O B-drug O O B-disease I-disease,drug
can a 4 year old and 18 month old have mood swings getting off antibiotics,O O O O O O O O O O B-disease I-disease O O B-drug,drug
can calcium citrate help relieve pain from menstrual cramps?,O B-drug I-drug O O O O B-disease I-disease,disease
what is staphylococcal infections,O O B-disease I-disease,disease
i stepped on a nail. do i need a tetanus shot?,O O O O O O O O O B-drug I-drug,treatment
fetal echo cardiography done doctors suggested to abort but we want to continue?,B-treatment I-treatment I-treatment O O O O O O O O O O,treatment
can a man get a uti if his wife has a kidney infection?,O O O O O B-disease O O O O O B-disease I-disease,disease
will it hurt me if i refrigerate milk of magnesia,O O O O O O O B-drug I-drug I-drug,other
do all woman get implantation bleeding,O O O O B-disease I-disease,disease
does ice cold drinks affect gerds?,O O O O O B-disease,other
can a pap smear indicate uterine fibroids,O O B-treatment I-treatment O B-disease I-disease,treatment
can flagyl be used to treat kidney infections,O B-drug O O O O B-disease I-disease,drug
can a torn ligament contribute to gout,O O B-disease I-disease O O B-disease,disease
can i drink alcohol while taking valacyclovir?,O O O O O O B-drug,drug
can i take a claritin d after i have taken excedrin migrane?,O O O O B-drug I-drug O O O O B-drug O,drug
does crixivan reduce the risk of passing the human immunodeficiency virus (hiv) to others?,O B-drug O O O O O O B-disease I-disease I-disease O B-disease O,drug
how do you break a fever in a toddler?,O O O O O B-disease O O O,treatment
what is the difference between staph and impetigo?,O O O O O B-disease O B-disease,disease
can you take probiotics and fiber supplements concurrently?,O O O B-drug O O B-drug O,drug
i had a flu shot in october how long is it good for,O O O B-drug I-drug O O O O O O O O,drug
when treated do thrush symptoms get worse before they get better?,O O O B-disease O O O O O O O,disease
is yoga good for fibromyalgia and degenerative disc disease,O O O O B-disease O B-disease I-disease I-disease,disease
can taking a multi vitamin cause a yeast infection?,O O O B-drug I-drug O O B-disease I-disease,drug
is it possible that one could get pregnant by having uprotected sex after 3 days,O O O O O O O B-disease O O O O O O O,other
can i get pregnant 5 to 6 days before ovulation?,O O O B-disease O O O O O O,other
can hypothyroid disease lead to diabetes?,O B-disease I-disease O O B-disease,disease
can a person with tonsillitis play in snow?,O O O O B-disease O O O,disease
can i be pregnant while i am on the pill?,O O O B-disease O O O O O O,disease
red light therapy body help the body produce vitamin d,B-treatment I-treatment I-treatment I-treatment O O O O O O,other
can a women get pregnant after ovulation and while she is having her period?,O O O O B-disease O O O O O O O O O,other
are over the counter urinary tract infection treatments effective in curing a urinary tract infection?,O O O O B-disease I-disease I-disease O O O O O O O O,disease
how does the aca affect u. s. citizens living overseas?,O O O B-disease O O O O O O,disease
how likely are you to get pregnant with premature ejaculation?,O O O O O O B-disease O B-disease I-disease,other
does vitamin d help fight mrsa,O B-drug I-drug O O B-disease,disease
do i fast for a cholesterol test,O O O O O B-treatment I-treatment,treatment
what are the chances of getting pregnant even if the condom didn't break?,O O O O O O B-disease O O O O O O,other
2 weeks late. negative pregnancy test but can i still be pregnant?,O O O O O O O O O O O B-disease,other
my wife kept taking primolut-n even after pregnancy is there a problem?,O O O O B-drug O O B-disease O O O O,drug
is it safe to drink during pregnancy?,O O O O O O B-disease,disease
when a pacemaker messes up does it cause someone to be violent and abusive?,O O B-treatment O O O O O O O O B-disease O B-disease,disease
can you get a yeast infection from taking doxycycline,O O O O B-disease I-disease O O B-drug,drug
what is acetaminophen elixir? how does the word elixir change the purpose of the medication?,O O B-drug I-drug O O O O O O O O O O O,drug
does medicare cover cataract surgery,O O O B-treatment I-treatment,treatment
i accidentally took my hypertension medication licinopril twice today. is that a worry?,O O O O B-disease O B-drug O O O O O O,drug
what kind of doctor repairs a hernia,O O O O O O B-disease,treatment
my wife is taking effexor xr 75 mg. is there a lower dosage available?,O O O O B-drug I-drug I-drug I-drug O O O O O O,drug
would a sprained neck induce a headache,O O B-disease I-disease O O B-disease,disease
can drinking ginger ale increase in blood pressure,O O O O B-disease I-disease I-disease I-disease,disease
can low blood pressure cause death? if so how low is safe?,O B-disease I-disease I-disease O O O O O O O O,disease
will a x-ray show fluid on the knee,O O B-treatment O B-disease I-disease I-disease I-disease,treatment
is rosacea contagious?,O B-disease O,disease
can ciprodex otic be used in the eye?,O B-drug I-drug O O O O O,drug
how long to clean blood test for nicotine,O O O O B-treatment I-treatment O B-drug,treatment
is it safe to operate a motor vehicle while catheterized?,O O O O O O O O O B-treatment,other
do you have to wean off of prozac or can you quit cold turkey?,O O O O O O O B-drug O O O O O O,drug
what happens if an infant is given an adult dosage of flu vaccine?,O O O O O O O O O O O B-drug I-drug,drug
does cipro cause weight gain?,O B-drug O B-disease I-disease,drug
can systemic candidiasis cause wart growth,O B-disease I-disease O B-disease I-disease,disease
can alcohol consumption cause acne?,O O O O B-disease,disease
what is toxic epidermal necrolysis,O O B-disease I-disease I-disease,disease
what doctor should i go to to get treatment for cellulitis. what doctor treats cellulitis,O O O O O O O O O O B-disease O O O O,treatment
will going through an x-ray machine at the airport hurt my medications?,O O O O B-treatment O O O O O O O,treatment
my husband is taking robaxin. can he take ibuprofen with it for pain?,O O O O B-drug O O O B-drug O O O B-disease,drug
can a child take azithromycin after taking a teaspoon of amoxicillin,O O O O B-drug O O O O O B-drug,drug
food remedy for early ejaculation?,O O O B-disease I-disease,other
does taking cranberry pills dry out boils,O O B-drug I-drug O O B-disease,disease
does swallowing phlegm prolong bronchitis?,O O O O B-disease,disease
is it worthwhile to get a minor tummy tuck if i plan to have children?,O O O O O O O B-treatment I-treatment O O O O O O,other
can a tooth infection cause vertigo,O O B-disease I-disease O B-disease,disease
can vitamin e help get rid of gentel warts,O B-drug I-drug O O O O B-disease I-disease,disease
can adults get rheumatic fever from strep throat,O O O B-disease I-disease O B-disease I-disease,disease
how can i best reduce the chances of scarring?,O O O O O O O O B-disease,disease
what is the difference between osteo and rheumatoid arthritis?,O O O O O B-disease O B-disease I-disease,disease
what time of day should vitamin d be given?,O O O O O B-drug I-drug O O,drug
if bacteria is resistant to levofloxacin could cipro still work?,O O O O O B-drug O B-drug O O,drug
symptoms of narrowing of disc in c4 & c5 area,O O B-disease I-disease I-disease O O O O O,disease
do teens always get pregnant after sex?,O O O O B-disease O O,other
can a teen boy wearing a pacemaker ride rollercoasters?,O O O O O O B-treatment O O,treatment
can i use naprosyn as muscle relaxant relaxor?,O O O B-drug O B-treatment I-treatment O,drug
can cpap machine cause pleurisy,O B-treatment I-treatment O B-disease,disease
is hpv found in all cases of cervical cancer?,O B-disease O O O O O B-disease I-disease,disease
what are the screening tests for prostate cancer?,O O O B-treatment I-treatment O B-disease I-disease,treatment
is it ok to take a viagra pill before having a semen analysis?,O O O O O O B-drug I-drug O O O B-treatment I-treatment,drug
is protein powder good or bad,O B-drug I-drug O O O,drug
what kind of skin problems can radiation therapy cause?,O O O O O O B-treatment I-treatment O,treatment
what is a vasoactive injection for erectile dysfunction?,O O O B-drug I-drug O B-disease I-disease,drug
is multiple myeloma contagious by sharing a drink,O B-disease I-disease O O O O O,disease
can a girl get cramps before she even begins having periods?,O O O O B-disease O O O O O O,disease
will medicare cover allergy testing,O O O B-treatment I-treatment,other
can the use of probiotics cause oral thrush?,O O O O B-drug O B-disease I-disease,drug
are both pneumococcal vaccines safe?,O O B-drug I-drug O,drug
is there a generic form of celexa available?,O O O O O O B-drug O,drug
is sapho (synovitis acne pustulosis hyperostosis and osteitis) syndrome related to other joint conditions?,O B-disease O B-drug I-disease I-disease O B-disease O O O O O O,disease
what should you do if you inject too much growth hormone using norditropin nordiflex?,O O O O O O O O O O O O B-drug I-drug,drug
can you take zoloft 50mg if you have sleep apnea?,O O O B-drug I-drug O O O B-disease I-disease,drug
vyvanse urine test what will it show up as?,B-drug I-treatment I-treatment O O O O O O,drug
is it normal to experience extreme pain after being treated for genital warts?,O O O O O O O O O O O B-disease I-disease,disease
can you put neosporin on staples,O O O B-drug O O,drug
can wine trigger eye floaters,O O O B-disease I-disease,disease
i had my uterus removed can i still get cervical cancer,O O O B-treatment I-treatment O O O O B-disease I-disease,disease
what are the symptoms of type 1 diabetes children living with the disease?,O O O O O B-disease I-disease I-disease O O O O O,disease
is ice cream bad for a cough?,O O O O O O B-disease,disease
will melatonin cause a positive urine drug test?,O B-drug O O O B-treatment I-treatment I-treatment,drug
can lisinopril work with ativan without any side effects?,O B-drug O O B-drug O O O O,drug
can taking certain perscription or otc drugs/supplements cause a loss of penile sensation,O O O O O B-drug I-drug I-drug O O O B-disease I-disease,disease
why is it risky for a diabetic to get a tattoo?,O O O O O O B-disease O O O O,disease
is a blood test for chlamydia accurate?,O O B-treatment I-treatment O B-disease O,treatment
can i get a flu shot while on antibiotics,O O O O B-drug I-drug O O B-drug,drug
is it ok to take phentermine zyrtec as together?,O O O O O B-drug I-drug O O,drug
do i need to fast for a cbc blood test?,O O O O O O O B-treatment I-treatment I-treatment,treatment
does niacin flush your system from thc?,O B-drug O O O O B-drug,drug
can liver cancer kill you,O B-disease I-disease O O,disease
are there any health insurance companies that cover provigil for daytime sleepiness?,O O O O O O O O B-drug O B-disease I-disease,other
what does an iodderma and bromoderma granulomatous reaction look like?,O O O B-disease I-disease I-disease I-disease I-disease O O,disease
can tamiflu be taken with ibuprofen?,O B-drug O O O B-drug,drug
does yoga have an effect on type 2 diabetess,O B-treatment O O O O B-disease I-disease I-disease,treatment
are there any ms of vaccines being linked to multiple sclerosis?,O O O B-disease O B-drug O O O O O,disease
does weight loss help decrease and heal spur pain?,O B-disease I-disease O O O O B-disease I-disease,disease
how long does zyrtec-d stay in your system?,O O O B-drug O O O O,drug
what is metchicillin mechicillin-resistant staphylococcal aureus,O O O B-disease I-disease I-disease,disease
can your throat hurt from an std,O O O O O O B-disease,disease
can eating too many cucumbers cause seizures?,O O O O O O B-disease,disease
can sneezing cause broken blood vessels around eyes,O B-disease O B-disease I-disease I-disease O O,disease
does taking an antibiotic make mirena ineffective?,O O O B-drug O B-disease O,drug
are there any problems with taking tylenol and sialis at the same time?,O O O O O O B-drug O B-drug O O O O,drug
can adenoids effect breathing through the nose,O B-disease O O O O O,disease
will health insurance through the marketplace cover genetic testing for breast cancer?,O O O O O O O B-treatment I-treatment O B-disease I-disease,other
do pregnant people ovulate at all?,O B-disease O O O O,other
genital herpes can it spread from drinking from other people drinking cups,B-disease I-disease O O O O O O O O O O,disease
what is an occipital nerve block? . what steroid is commonly used in the injection?,O O O B-disease I-disease I-disease O O B-drug O O O O O O,treatment
can bactrim cause a false positive for benzodiazepham on a drug test,O B-drug O O O O O B-drug O O B-treatment I-treatment,drug
will radiation therapy cause my hair to fall out?,O B-treatment I-treatment O O O O O O,treatment
what ingredients should you avoid in your makeup if you have sensitive skin?,O O O O O O O O O O O B-disease I-disease,other
does hyzar or lisinopril have snake venom in the ingredients?,O B-drug O B-drug O B-disease I-disease O O O,drug
is rosiolrasiola rasiola type of molluscum?,O O B-disease O O B-disease,disease
can someone have schizophrenia and be bi-polar as well?,O O O B-disease O O B-disease O O,disease
does your hair grow thicker while you are pregnant?,O O O O O O O O B-disease,other
will doxycycline haclatae make me fail a urine test,O B-drug I-drug O O O O B-treatment I-treatment,drug
what happens if you drink water a few hours before surgery?,O O O O O O O O O O B-treatment,treatment
what is the differnce between an ovarian cyst and tumor,O O O O O O B-disease I-disease O B-disease,disease
can you get rotavirus if you have had the immunization,O O O B-disease O O O O O B-drug,disease
can eczema be a direct result from contact dermatitis caused by machine coolants,O B-disease O O O O O B-disease I-disease O O O O,disease
